743
"009240","BICKLEY        ","BICK",-32.0072,116.1369,  384,"95610","WA "
"009256","GARDEN ISLAND  ","YGAD",-32.2433,115.6839,    6,"95607","WA "
"009265","HILLARYS BOAT H","HILL",-31.8256,115.7386,    0,"95605","WA "
"009500","ALBANY         ","AAAA",-35.0289,117.8808,    3,"94801","WA "
"009518","CAPE LEEUWIN   ","CPLE",-34.3728,115.1358,   13,"94601","WA "
"009519","CAPE NATURALIST","CNTE",-33.5372,115.0189,  109,"94600","WA "
"009534","DONNYBROOK     ","AAAA",-33.5719,115.8247,   63,"95622","WA "
"009538","DWELLINGUP FORE","DWEL",-32.7103,116.0594,  267,"94620","WA "
"009542","ESPERANCE AIRPO","YESP",-33.6825,121.8275,  142,"95638","WA "
"009573","MANJIMUP       ","MANJ",-34.2508,116.1450,  287,"94617","WA "
"009581","MOUNT BARKER   ","AAAA",-34.6250,117.6361,  300,"94630","WA "
"009592","PEMBERTON      ","AAAA",-34.4478,116.0433,  174,"95613","WA "
"009603","BUSSELTON AIRPO","YBLN",-33.6858,115.4008,   16,"95611","WA "
"009617","BRIDGETOWN     ","BDGN",-33.9486,116.1311,  179,"95632","WA "
"009746","WITCHCLIFFE    ","WCLF",-34.0281,115.1042,   80,"95641","WA "
"009789","ESPERANCE      ","YEST",-33.8300,121.8925,   25,"94638","WA "
"009842","JARRAHWOOD     ","AAAA",-33.7964,115.6658,  130,"95623","WA "
"009871","WINDY HARBOUR  ","AAAA",-34.8361,116.0308,    5,"94640","WA "
"009961","HOPETOUN NORTH ","HPTN",-33.9306,120.1283,   26,"95635","WA "
"009964","ROCKY GULLY SOU","RKG ",-34.5714,117.0106,  250,"94631","WA "
"009965","BUNBURY        ","BUNB",-33.3567,115.6447,    5,"94604","WA "
"009968","SHANNON        ","SHAN",-34.5683,116.3367,  210,"95617","WA "
"009977","MANDURAH       ","MDU ",-32.5219,115.7119,    3,"94605","WA "
"009994","COLLIE EAST    ","COLE",-33.3608,116.1717,  200,"95621","WA "
"009998","NORTH WALPOLE  ","WALN",-34.9469,116.7222,   73,"95647","WA "
"009999","ALBANY AIRPORT ","YABA",-34.9411,117.8158,   68,"94802","WA "
"010007","BENCUBBIN      ","AAAA",-30.8081,117.8603,  359,"94632","WA "
"010058","GOOMALLING     ","AAAA",-31.2994,116.8269,  239,"95631","WA "
"010073","KELLERBERRIN   ","AAAA",-31.6183,117.7217,  250,"95603","WA "
"010092","MERREDIN       ","AAAA",-31.4756,118.2789,  315,"95624","WA "
"010111","NORTHAM        ","AAAA",-31.6508,116.6586,  170,"94621","WA "
"010286","CUNDERDIN AIRFI","YCUN",-31.6219,117.2217,  217,"95625","WA "
"010311","YORK           ","AAAA",-31.8997,116.7650,  179,"94623","WA "
"010515","BEVERLEY       ","AAAA",-32.1083,116.9247,  199,"95615","WA "
"010524","BROOKTON       ","AAAA",-32.3728,117.0086,  250,"94625","WA "
"010536","CORRIGIN       ","AAAA",-32.3292,117.8733,  295,"94633","WA "
"010568","HYDEN          ","AAAA",-32.4419,118.8983,  299,"95627","WA "
"010612","NAREMBEEN      ","AAAA",-32.0656,118.3956,  276,"95626","WA "
"010614","NARROGIN       ","AAAA",-32.9342,117.1797,  338,"94627","WA "
"010622","ONGERUP        ","AAAA",-33.9644,118.4889,  286,"95628","WA "
"010626","PINGELLY       ","AAAA",-32.5336,117.0831,  297,"95616","WA "
"010633","RAVENSTHORPE   ","AAAA",-33.5803,120.0458,  232,"94636","WA "
"010647","WAGIN          ","AAAA",-33.3075,117.3403,  256,"95618","WA "
"010692","NEWDEGATE RESEA","NGT ",-33.1131,118.8400,  320,"94628","WA "
"010905","JACUP          ","JCUP",-33.8878,119.1092,  305,"95636","WA "
"010911","LAKE GRACE     ","LGRC",-33.1006,118.4647,  286,"95637","WA "
"010916","KATANNING RESEA","KTNG",-33.6856,117.6064,  320,"94641","WA "
"010917","WANDERING      ","WAND",-32.6722,116.6706,  275,"95640","WA "
"011003","EUCLA          ","ECLT",-31.6797,128.8958,   93,"94647","WA "
"011017","BALLADONIA     ","AAAA",-32.4569,123.8653,  151,"94642","WA "
"011019","EYRE           ","AAAA",-32.2464,126.3008,    6,"94645","WA "
"011052","FORREST        ","YFRT",-30.8453,128.1092,  159,"95646","WA "
"011053","RED ROCKS POINT","RRP ",-32.2028,127.5297,    3,"94644","WA "
"012009","NORSEMAN AIRPOR","YNSM",-32.2147,121.7547,  263,"95642","WA "
"012038","KALGOORLIE BOUL","YPKG",-30.7847,121.4533,  365,"94637","WA "
"012044","MUNGLINUP WEST ","MUNW",-33.5547,120.6997,  220,"95644","WA "
"012071","SALMON GUMS RES","SLMN",-32.9869,121.6239,  249,"95639","WA "
"012090","YEELIRRIE      ","AAAA",-27.2842,120.0931,  487,"94440","WA "
"012239","BULGA DOWNS    ","AAAA",-28.4967,119.7436,  439,"94444","WA "
"012241","LEONORA AERO   ","YLEO",-28.8789,121.3186,  370,"94450","WA "
"012305","LAVERTON AIRPOR","YLTN",-28.6133,122.4236,  464,"94449","WA "
"012314","LEINSTER AIRPOR","YLST",-27.8386,120.7031,  497,"95448","WA "
"012320","SOUTHERN CROSS ","YSCR",-31.2353,119.3564,  347,"95634","WA "
"013007","BALGO HILLS    ","BGOH",-20.1417,127.9867,  420,"94320","WA "
"013011","WARBURTON AIRFI","YWBR",-26.1317,126.5839,  459,"94457","WA "
"013012","WILUNA         ","AAAA",-26.5914,120.2258,  521,"94439","WA "
"013015","CARNEGIE       ","AAAA",-25.7964,122.9753,  448,"94451","WA "
"013017","GILES          ","YGLS",-25.0341,128.3010,  598,"94461","WA "
"013030","TELFER AIRPORT ","YTEF",-21.7125,122.2281,  292,"94319","WA "
"014015","DARWIN AP      ","YPDN",-12.4239,130.8925,   30,"94120","NT "
"014023","GUNN POINT     ","GUNN",-12.2490,131.0449,   25,"99501","NT "
"014031","CHARLES POINT A","CHAP",-12.3895,130.6306,   14,"99510","NT "
"014041","MIDDLE POINT AW","MDP ",-12.6050,131.2988,   14,"95121","NT "
"014072","DARWIN NTC AWS ","DARW",-12.4719,130.8458,    0,"95122","NT "
"014142","PIRLANGIMPI    ","YGPT",-11.4022,130.4217,   18,"94119","NT "
"014153","BLACK POINT    ","YSMP",-11.1538,132.1430,    5,"94134","NT "
"014198","JABIRU AP AWS  ","YJAB",-12.6592,132.8940,   27,"94137","NT "
"014253","CHANNEL POINT  ","AAAA",-13.1672,130.1226,    3,"94121","NT "
"014254","POINT STUART AW","PIST",-12.2397,131.8791,    1,"94127","NT "
"014272","BATCHELOR AWS  ","YBCR",-13.0545,131.0252,  104,"94125","NT "
"014274","MCCLUER IS AWS ","MCLR",-11.0468,132.9791,    1,"94135","NT "
"014277","DUM-IN-MIRRIE  ","DIMI",-12.6350,130.3725,    4,"94116","NT "
"014299","NGUKURR AWS    ","YNGU",-14.7236,134.7456,   15,"94106","NT "
"014305","KATHERINE COUNT","AAAA",-14.4728,132.2612,  106,"94132","NT "
"014308","CROKER ISLAND A","YCKI",-11.1629,132.4813,    9,"94108","NT "
"014309","MURGANELLA AWS ","YMNL",-11.5485,132.9266,   10,"94109","NT "
"014310","OENPELLI AWS   ","YOEN",-12.3272,133.0069,    8,"94110","NT "
"014314","NOONAMAH (MKT) ","YMKT",-12.6099,131.0474,   18,"94105","NT "
"014401","WARRUWI        ","YGBI",-11.6500,133.3797,   19,"94139","NT "
"014404","MILINGIMBI AWS ","YMGB",-12.0932,134.8919,   15,"94140","NT "
"014405","MANINGRIDA AERO","YMGD",-12.0569,134.2339,   28,"95142","NT "
"014508","GOVE           ","YPGV",-12.2741,136.8203,   52,"94150","NT "
"014518","GROOTE IS AWS  ","YGTE",-13.9746,136.4630,   14,"94153","NT "
"014626","DALY WATERS AWS","DALY",-16.2637,133.3782,  210,"94234","NT "
"014627","BULMAN AWS     ","BUL ",-13.6714,134.3414,  103,"94143","NT "
"014703","CENTRE ISLAND  ","CENT",-15.7426,136.8192,   12,"94248","NT "
"014704","MCARTHUR R MINE","YMHU",-16.4423,136.0760,   40,"94239","NT "
"014723","BORROLOOLA AWS ","YBRL",-16.0755,136.3041,   16,"94152","NT "
"014825","VICTORIA R DNS ","YVRD",-16.4030,131.0145,   89,"94232","NT "
"014829","LAJAMANU AWS   ","YHOO",-18.3324,130.6361,  316,"94231","NT "
"014840","WAVE HILL      ","YWAV",-17.3869,131.1166,  196,"94229","NT "
"014901","DOUGLAS RV AWS ","DOUG",-13.8345,131.1872,   43,"94128","NT "
"014909","CENTRAL PLATEAU","CAR ",-13.3275,133.0861,  416,"94141","NT "
"014932","TINDAL AWS     ","YPTN",-14.5229,132.3826,  134,"94131","NT "
"014938","MANGO FARM     ","AAAA",-13.7379,130.6834,   15,"94117","NT "
"014948","PORT KEATS     ","YPKT",-14.2494,129.5282,   28,"95111","NT "
"014949","DELAMERE       ","YDWF",-15.7442,131.9182,  221,"94225","NT "
"014954","BRADSHAW AWS   ","BRAD",-14.9408,130.8092,   75,"94130","NT "
"015131","ELLIOTT        ","YELL",-17.5551,133.5439,  220,"94236","NT "
"015135","TENNANT CREEK  ","YTNK",-19.6423,134.1833,  376,"94238","NT "
"015511","CURTIN SPRINGS ","YCSP",-25.3139,131.7571,  490,"94463","NT "
"015528","YUENDUMU       ","YYND",-22.2562,131.8017,  667,"94324","NT "
"015590","ALICE SPRINGS  ","YBAS",-23.7951,133.8890,  546,"94326","NT "
"015594","ARLTUNGA       ","AAAA",-23.4564,134.6849,  661,"95323","NT "
"015602","JERVOIS        ","YJVS",-22.9494,136.1442,  328,"94327","NT "
"015603","KULGERA        ","AAAA",-25.8428,133.3027,  509,"94466","NT "
"015635","YULARA AWS     ","YAYE",-25.1896,130.9737,  492,"94462","NT "
"015643","TERRITORY GRAPE","TGFM",-22.4518,133.6377,  566,"94328","NT "
"015652","WATARRKA       ","AAAA",-24.2918,131.5490,  614,"94323","NT "
"015664","WALUNGURRU     ","YKNT",-23.2656,129.3844,  454,"94321","NT "
"015666","RABBIT FLAT    ","YRBT",-20.1823,130.0148,  340,"95322","NT "
"016001","WOOMERA        ","YPWR",-31.1558,136.8054,  167,"94659","SA "
"016065","ANDAMOOKA      ","AAAA",-30.4490,137.1692,   76,"95660","SA "
"016067","MOUNT IVE      ","YMIV",-32.4398,136.0671,  177,"94660","SA "
"016090","COOBER PEDY AWS","YCBP",-29.0347,134.7222,  225,"95458","SA "
"016096","ROXBY DOWNS AWS","YOLD",-30.4829,136.8772,   99,"95658","SA "
"016097","ERNABELLA      ","YERN",-26.2635,132.1771,  703,"94474","SA "
"016098","TARCOOLA       ","YTAR",-30.7051,134.5786,  123,"94655","SA "
"017043","OODNADATTA AWS ","YOOD",-27.5553,135.4456,  117,"94476","SA "
"017099","ARKAROOLA      ","AAAA",-30.3110,139.3357,  318,"94676","SA "
"017110","LEIGH CREEK    ","YLEC",-30.5963,138.4219,  259,"94674","SA "
"017123","MOOMBA AP      ","YOOM",-28.0997,140.1956,   38,"95481","SA "
"017126","MARREE AP      ","YMRE",-29.6587,138.0684,   50,"95480","SA "
"018012","CEDUNA         ","YCDU",-32.1297,133.6976,   15,"94653","SA "
"018014","CLEVE          ","AAAA",-33.7011,136.4937,  193,"94661","SA "
"018040","KIMBA          ","AAAA",-33.1416,136.4126,  280,"94668","SA "
"018044","KYANCUTTA      ","AAAA",-33.1337,135.5521,   59,"94657","SA "
"018069","ELLISTON       ","AAAA",-33.6501,134.8880,    7,"94656","SA "
"018079","STREAKY BAY    ","AAAA",-32.7963,134.2116,   13,"94654","SA "
"018083","WUDINNA AP     ","YWUD",-33.0430,135.4519,   86,"95654","SA "
"018106","NULLARBOR      ","NULA",-31.4492,130.8976,   64,"94651","SA "
"018115","NEPTUNE IS     ","NPI ",-35.3365,136.1174,   32,"94804","SA "
"018116","CLEVE AWS      ","YCEE",-33.7081,136.5026,  175,"94662","SA "
"018120","WHYALLA AP     ","YWHA",-33.0539,137.5205,    7,"95664","SA "
"018191","COLES POINT    ","CLPT",-34.3749,135.3741,   28,"94658","SA "
"018192","PT LINCOLN AWS ","YPLC",-34.5993,135.8784,    9,"95661","SA "
"018195","MINNIPA AWS    ","MINN",-32.8427,135.1515,  165,"95662","SA "
"018201","PORT AUGUSTA AP","YPAG",-32.5073,137.7169,   14,"95666","SA "
"018217","CUMMINS AERO   ","YCMM",-34.2524,135.7135,   60,"95663","SA "
"019017","HAWKER         ","AAAA",-31.8846,138.4350,  315,"94673","SA "
"019062","YONGALA        ","AAAA",-33.0276,138.7560,  521,"94679","SA "
"020028","GLUEPOT        ","AAAA",-33.7622,140.1251,   57,"95668","SA "
"020062","YUNTA          ","YYUN",-32.5707,139.5645,  300,"94684","SA "
"021131","CLARE AWS      ","CLAR",-33.8226,138.5933,  395,"95667","SA "
"021133","SNOWTOWN AWS   ","SNTN",-33.7676,138.2182,  109,"95670","SA "
"021139","PORT PIRIE AERO","PPAD",-33.2341,138.0010,   10,"99749","SA "
"022008","MAITLAND       ","AAAA",-34.3745,137.6733,  185,"94665","SA "
"022015","PRICE          ","AAAA",-34.2971,138.0014,    2,"95669","SA "
"022018","WAROOKA        ","AAAA",-34.9906,137.3995,   53,"94663","SA "
"022031","MINLATON AWS   ","YMIN",-34.7480,137.5276,   32,"95659","SA "
"022046","EDITHBURGH AWS ","YEDB",-35.1121,137.7395,    6,"94809","SA "
"022049","STENHOUSE BAY  ","STHB",-35.2795,136.9392,   42,"95806","SA "
"022050","KADINA AWS     ","YKDI",-33.9703,137.6628,   41,"94685","SA "
"022803","CAPE WILLOUGHBY","YCWB",-35.8426,138.1327,   55,"94822","SA "
"022823","CAPE BORDA AWS ","YCBO",-35.7549,136.5959,  158,"95805","SA "
"022841","KINGSCOTE AP   ","YKSC",-35.7114,137.5231,    6,"95807","SA "
"022843","PARNDANA CFS AW","YPDA",-35.7916,137.2496,  165,"94807","SA "
"023013","PARAFIELD AP   ","YPPF",-34.7977,138.6281,   10,"95677","SA "
"023034","ADELAIDE AIRPOR","YPAD",-34.9524,138.5204,    2,"94672","SA "
"023083","EDINBURGH AP   ","YPED",-34.7111,138.6222,   17,"95676","SA "
"023090","ADELAIDE       ","ADRO",-34.9211,138.6216,   48,"94675","SA "
"023122","ROSEWORTHY AWS ","ROSE",-34.5106,138.6763,   65,"95671","SA "
"023343","TURRETFIELD    ","AAAA",-34.5519,138.8342,  116,"95674","SA "
"023373","NURIOOTPA AWS  ","NURI",-34.4761,139.0056,  275,"94681","SA "
"023733","MT BARKER      ","AAAA",-35.0730,138.8465,  359,"94806","SA "
"023804","VICTOR HARBOR W","AAAA",-35.5544,138.5997,    8,"95811","SA "
"023842","MT LOFTY AWS   ","LOFT",-34.9784,138.7088,  685,"95678","SA "
"023875","PARAWA AWS     ","SECV",-35.5695,138.2864,  341,"94811","SA "
